countries,month,cases,deaths
Albania,3,153,10
Albania,4,543,19
Albania,5,356,2
Albania,6,1344,25
Albania,7,2731,96
Albania,8,3408,100
Andorra,3,182,8
Andorra,4,373,34
Andorra,5,21,9
Andorra,6,91,1
Andorra,7,67,0
Andorra,8,138,1
Armenia,1,0,0
Armenia,2,0,0
Armenia,3,532,3
Armenia,4,1534,29
Armenia,5,7216,99
Armenia,6,16260,312
Armenia,7,13008,295
Armenia,8,4275,116
Austria,1,0,0
Austria,2,7,0
Austria,3,9611,108
Austria,4,5746,472
Austria,5,1274,88
Austria,6,1028,35
Austria,7,3343,15
Austria,8,4538,15
Azerbaijan,1,0,0
Azerbaijan,2,1,0
Azerbaijan,3,272,4
Azerbaijan,4,1493,19
Azerbaijan,5,3480,38
Azerbaijan,6,11722,145
Azerbaijan,7,14592,235
Azerbaijan,8,3866,78
Belarus,1,0,0
Belarus,2,1,0
Belarus,3,104,0
Belarus,4,13076,84
Belarus,5,28477,145
Belarus,6,20132,158
Belarus,7,5875,166
Belarus,8,2980,93
Belgium,1,0,0
Belgium,2,1,0
Belgium,3,15299,1116
Belgium,4,34645,6793
Belgium,5,8976,1575
Belgium,6,2969,273
Belgium,7,7707,79
Belgium,8,12401,160
Bosnia_and_Herzegovina,3,189,6
Bosnia_and_Herzegovina,4,1336,56
Bosnia_and_Herzegovina,5,804,88
Bosnia_and_Herzegovina,6,1850,31
Bosnia_and_Herzegovina,7,7101,145
Bosnia_and_Herzegovina,8,6583,212
Bulgaria,3,196,5
Bulgaria,4,1088,56
Bulgaria,5,1066,76
Bulgaria,6,2318,83
Bulgaria,7,6589,151
Bulgaria,8,3867,171
Croatia,1,0,0
Croatia,2,5,0
Croatia,3,785,6
Croatia,4,1272,61
Croatia,5,184,36
Croatia,6,479,4
Croatia,7,2346,37
Croatia,8,3240,29
Cyprus,3,114,7
Cyprus,4,613,8
Cyprus,5,100,2
Cyprus,6,53,2
Cyprus,7,88,0
Cyprus,8,376,2
Czechia,1,0,0
Czechia,2,0,0
Czechia,3,3002,24
Czechia,4,4577,203
Czechia,5,1651,92
Czechia,6,2575,29
Czechia,7,4537,31
Czechia,8,5839,36
Denmark,1,0,0
Denmark,2,2,0
Denmark,3,2575,77
Denmark,4,6431,366
Denmark,5,2625,128
Denmark,6,1118,34
Denmark,7,974,10
Denmark,8,2672,8
Estonia,1,0,0
Estonia,2,1,0
Estonia,3,714,3
Estonia,4,951,47
Estonia,5,199,13
Estonia,6,122,0
Estonia,7,64,0
Estonia,8,224,1
Faroe_Islands,3,150,0
Faroe_Islands,4,19,0
Faroe_Islands,5,0,0
Faroe_Islands,6,0,0
Faroe_Islands,7,33,0
